Run #1	Run #1	Run #1	Run #1
Time (s)	Counts (counts/sample)	Temperature (°C)	Temperature (°C) Sum(counts)
0.000	0	20.1	20.1
10.000	1	20.1	20.2
20.000	1	20.4	20.4
30.000	0	20.6	20.5
40.000	1	20.8	20.5
50.000	0	21.0	20.4
60.000	1	21.1	20.4
70.000	0	21.3	20.2
80.000	1	21.5	20.1
90.000	1	21.6	19.9
100.000	0	21.8	19.7
110.000	1	22.0	19.4
120.000	0	22.1	19.2
130.000	1	22.3	19.0
140.000	1	22.5	18.7
150.000	0	22.7	18.5
160.000	1	22.9	18.2
170.000	0	23.1	18.1
180.000	1	23.3	17.8
190.000	1	23.5	17.5
200.000	0	23.7	17.3
210.000	1	23.9	17.1
220.000	1	24.0	16.8
230.000	0	24.2	16.6
240.000	1	24.4	16.4
250.000	1	24.6	16.1
260.000	0	24.8	15.9
270.000	1	25.0	15.7
280.000	1	25.1	15.4
290.000	0	25.3	15.2
300.000	1	25.5	15.0
310.000	3	25.7	14.7
320.000	0	25.9	14.5
330.000	1	26.1	14.3
340.000	1	26.3	14.1
350.000	0	26.4	13.9
360.000	2	26.6	13.7
370.000	1	26.8	13.5
380.000	0	26.9	13.3
390.000	1	27.1	13.1
400.000	1	27.3	12.9
410.000	0	27.5	12.7
420.000	1	27.7	12.4
430.000	1	27.9	12.2
440.000	0	28.0	12.0
450.000	1	28.2	11.9
460.000	1	28.4	11.7
470.000	0	28.5	11.5
480.000	1	28.6	11.3
490.000	1	28.9	11.1
500.000	0	29.0	10.9
510.000	1	29.2	10.7
520.000	1	29.4	10.5
530.000	0	29.5	10.3
540.000	1	29.8	10.2
550.000	1	29.9	10.0
560.000	0	30.0	9.8
570.000	1	30.2	9.6
580.000	1	30.4	9.5
590.000	0	30.5	9.3
600.000	1	30.7	9.1
610.000	1	30.9	9.0
620.000	1	31.0	8.8
630.000	0	31.2	8.7
640.000	1	31.3	8.5
650.000	1	31.5	8.3
660.000	0	31.7	8.2
670.000	1	31.8	8.0
680.000	1	32.0	7.9
690.000	0	32.1	7.7
700.000	1	32.3	7.6
710.000	1	32.4	7.4
720.000	0	32.6	7.3
730.000	1	32.7	7.1
740.000	1	32.9	7.0
750.000	0	33.0	6.9
760.000	1	33.2	6.7
770.000	1	33.3	6.6
780.000	0	33.4	6.5
790.000	1	33.6	6.3
800.000	3	33.7	6.2
810.000	0	33.8	6.0
820.000	1	34.0	5.9
830.000	1	34.2	5.8
840.000	0	34.3	5.7
850.000	1	34.5	5.6
860.000	1	34.6	5.4
870.000	0	34.7	5.3
880.000	1	34.8	5.2
890.000	1	35.0	5.0
900.000	0	35.1	4.9
910.000	1	35.2	4.8
920.000	1	35.4	4.7
930.000	0	35.5	4.6
940.000	1	35.6	4.5
950.000	1	35.7	4.3
960.000	0	35.9	4.2
970.000	1	36.0	4.1
980.000	1	36.1	4.0
990.000	0	36.3	3.8
1000.000	1	36.4	3.8
1010.000	1	36.5	3.6
1020.000	0	36.6	3.5
1030.000	1	36.8	3.4
1040.000	3	36.9	3.3
1050.000	0	37.0	3.2
1060.000	1	37.1	3.2
1070.000	1	37.2	3.1
1080.000	0	37.4	2.9
1090.000	1	37.5	2.8
1100.000	1	37.6	2.7
1110.000	0	37.7	2.6
1120.000	1	37.8	2.5
1130.000	1	38.0	2.4
1140.000	0	38.1	2.4
1150.000	1	38.2	2.3
1160.000	1	38.3	2.2
1170.000	0	38.4	2.1
1180.000	1	38.6	2.0
1190.000	1	38.7	1.9
1200.000	0	38.8	1.8
1210.000	1	38.9	1.7
